NO#APT2018,NO2APT2018,Εθνικης Αμυνης(1392),Αγιου Δημητριου(1479),Αγιου Δημητριου(1514),Εθνικης Αμυνης(1803),Πανεπιστημιου(1896),Αγιου Δημητριου(2090),Αγιου Δημητριου(2183),Προς Αγιου Δημητριου(727),Αγιου Δημητριου(800),Προς Εθνικης Αμυνης(843)
nan,nan,nan,49.333333333333336,34.0,22.0,nan,52.333333333333336,25.5,25.0,nan,10.0
nan,nan,nan,53.75,17.666666666666668,16.0,nan,51.0,nan,nan,nan,nan
nan,nan,18.0,58.0,33.0,31.0,11.0,68.5,38.0,5.0,nan,nan
nan,nan,nan,56.0,32.333333333333336,19.5,28.0,61.0,37.0,nan,nan,13.0
nan,nan,23.0,64.0,30.333333333333332,nan,22.0,65.5,21.5,23.0,nan,40.0
nan,nan,14.75,47.333333333333336,27.0,nan,27.0,43.25,17.0,11.0,nan,23.0
nan,nan,16.5,38.0,30.5,16.0,28.0,39.5,17.0,26.0,nan,21.5
nan,nan,13.0,51.0,26.0,14.0,38.0,38.75,33.25,32.5,15.0,27.5
nan,nan,nan,44.0,25.75,10.75,21.5,40.25,18.5,nan,nan,17.75
nan,nan,8.0,47.25,21.5,nan,26.0,39.0,24.0,35.666666666666664,nan,17.0
nan,nan,2.0,51.25,15.25,4.0,14.0,34.75,23.666666666666668,25.75,24.0,3.0
nan,nan,11.0,44.25,19.25,10.0,31.0,36.75,21.25,20.0,nan,16.0
nan,nan,nan,51.0,21.75,15.0,32.5,42.0,22.0,27.0,nan,16.0
nan,nan,nan,43.25,24.5,nan,24.5,43.0,17.666666666666668,46.0,13.0,16.0
nan,nan,6.0,51.0,21.25,nan,18.5,41.0,29.333333333333332,39.666666666666664,15.0,32.0
nan,nan,nan,50.75,21.0,9.0,13.5,37.75,22.666666666666668,38.0,nan,23.75
nan,nan,6.5,49.5,24.75,17.0,24.0,39.25,20.25,29.5,nan,21.5
nan,nan,nan,49.0,21.25,24.0,18.0,41.75,25.0,45.0,4.0,12.5
nan,nan,18.0,51.0,25.0,8.0,10.0,41.25,30.0,32.5,nan,16.0
nan,nan,3.0,52.75,27.5,1.0,27.0,45.25,29.5,20.0,nan,29.0
nan,nan,17.0,42.25,30.75,16.333333333333332,1.0,43.25,27.25,24.666666666666668,7.0,20.0
nan,nan,15.666666666666666,59.0,29.25,nan,15.0,48.25,30.5,39.5,13.0,12.0
nan,nan,13.0,47.75,30.0,16.0,27.333333333333332,48.75,33.0,19.5,22.0,26.0
nan,nan,12.0,66.0,30.666666666666668,12.0,38.5,49.75,23.5,7.0,nan,18.0
nan,nan,17.5,52.666666666666664,29.333333333333332,nan,17.5,56.0,29.666666666666668,nan,nan,nan
nan,nan,16.5,57.25,35.0,17.0,20.0,52.333333333333336,29.5,nan,nan,13.0
nan,nan,28.0,57.75,30.5,6.0,10.0,58.25,30.0,41.5,nan,16.5
nan,nan,35.0,70.5,34.333333333333336,nan,22.0,64.25,nan,nan,nan,16.5
nan,nan,nan,57.5,33.25,nan,9.5,59.333333333333336,27.0,28.5,nan,25.0
nan,nan,nan,63.0,39.0,nan,nan,47.25,13.666666666666666,40.5,nan,13.5
nan,nan,22.0,54.0,29.333333333333332,17.0,21.0,50.5,26.666666666666668,45.5,nan,14.75
nan,nan,26.0,60.0,25.75,18.0,28.5,43.75,23.0,21.5,nan,14.0
nan,nan,22.0,54.25,26.25,15.0,21.5,50.0,23.75,70.0,nan,33.0
nan,nan,nan,46.0,21.75,12.0,4.0,46.0,22.5,43.0,nan,27.0
nan,nan,nan,51.5,29.0,4.0,nan,43.75,30.333333333333332,33.0,nan,25.0
nan,nan,17.5,50.25,27.0,12.5,nan,42.25,38.5,nan,nan,45.0
nan,nan,nan,48.0,20.0,8.5,24.5,43.25,31.0,38.0,nan,22.0
nan,nan,29.0,39.25,31.0,14.0,20.0,46.25,nan,44.0,nan,29.0
nan,nan,18.0,50.25,25.333333333333332,22.0,15.0,44.5,34.333333333333336,nan,nan,28.0
nan,nan,nan,45.0,30.25,nan,nan,50.75,32.0,33.75,nan,33.0
nan,nan,16.0,46.25,24.0,5.5,30.0,51.25,24.666666666666668,29.0,18.0,26.333333333333332
nan,nan,24.0,47.75,22.5,45.0,nan,43.25,25.5,28.5,nan,21.0
nan,nan,12.0,48.25,29.5,13.0,nan,48.0,21.0,51.0,nan,19.333333333333332
nan,nan,nan,49.0,31.75,8.5,18.666666666666668,49.5,24.333333333333332,nan,nan,2.0
nan,nan,20.0,47.75,28.25,4.666666666666667,19.5,50.25,24.333333333333332,45.5,nan,23.75
nan,nan,16.0,51.5,18.75,15.333333333333334,nan,47.25,37.0,35.0,nan,6.0
nan,nan,4.5,53.0,33.0,8.5,nan,43.75,19.0,10.0,35.0,27.0
nan,nan,12.0,55.25,28.75,nan,nan,50.25,28.5,27.0,18.0,19.0
nan,nan,19.0,49.5,32.0,7.0,21.0,56.0,27.0,23.0,nan,18.333333333333332
nan,nan,14.0,46.5,34.333333333333336,27.5,nan,56.0,32.5,13.0,nan,13.333333333333334
nan,nan,15.5,40.75,31.0,13.333333333333334,26.0,43.0,27.5,7.0,nan,23.666666666666668
nan,nan,21.0,59.666666666666664,36.0,nan,nan,59.5,22.666666666666668,25.0,nan,14.333333333333334
nan,nan,22.0,56.5,35.0,nan,26.0,50.0,16.0,nan,nan,18.0
nan,nan,nan,53.75,39.0,24.0,33.0,57.666666666666664,36.5,64.0,nan,4.0
nan,nan,18.0,60.5,30.75,nan,26.666666666666668,50.0,30.0,12.0,nan,13.666666666666666
nan,nan,16.0,54.25,22.25,nan,17.0,51.0,20.0,nan,nan,16.5
nan,nan,nan,53.25,24.5,nan,22.0,45.0,20.666666666666668,52.0,37.0,6.0
nan,nan,nan,48.25,9.0,5.0,23.333333333333332,40.0,29.0,30.333333333333332,nan,28.0
nan,nan,10.0,43.75,23.75,16.0,19.0,42.25,53.0,31.0,nan,16.333333333333332
nan,nan,21.0,49.5,19.25,26.0,nan,41.0,28.333333333333332,24.0,nan,18.5
nan,nan,5.5,51.5,23.0,nan,27.0,42.0,28.5,26.666666666666668,nan,12.5
nan,nan,14.0,53.5,29.0,11.0,13.0,38.0,39.0,43.0,nan,21.0
nan,nan,2.0,57.5,27.5,nan,31.0,50.25,33.0,nan,nan,19.5
nan,nan,17.5,43.5,28.75,17.5,18.0,50.75,30.5,32.5,nan,26.0
nan,nan,nan,58.5,36.333333333333336,nan,24.0,44.0,27.0,30.5,nan,34.5
nan,nan,nan,56.0,22.5,15.5,nan,44.5,28.5,38.0,nan,14.0
nan,nan,nan,54.5,29.333333333333332,nan,nan,42.5,26.333333333333332,33.5,nan,23.25
nan,nan,nan,60.0,31.0,nan,nan,50.75,34.0,nan,nan,nan
nan,nan,15.0,49.75,30.333333333333332,15.666666666666666,16.5,45.75,18.0,6.0,nan,18.666666666666668
nan,nan,19.666666666666668,47.666666666666664,35.5,13.0,9.5,45.75,32.0,nan,28.0,nan
nan,nan,22.0,56.0,22.0,24.0,9.0,56.5,39.333333333333336,9.0,25.5,40.0
nan,nan,31.0,54.0,37.0,nan,nan,53.75,31.0,nan,28.0,30.0
nan,nan,nan,54.5,34.0,11.5,19.5,57.333333333333336,35.5,22.5,nan,18.0
nan,nan,nan,54.666666666666664,26.0,nan,nan,56.0,26.0,30.0,nan,18.0
nan,nan,nan,45.5,40.333333333333336,12.0,nan,66.33333333333333,nan,54.0,nan,nan
nan,nan,nan,61.0,49.0,53.0,nan,67.0,19.5,51.0,nan,nan
nan,nan,20.0,61.333333333333336,31.5,nan,23.0,51.75,37.0,62.0,nan,nan
nan,nan,nan,49.75,33.0,4.0,36.0,48.666666666666664,31.5,28.5,nan,21.0
nan,nan,23.5,44.25,24.5,37.0,nan,44.5,33.333333333333336,20.0,nan,21.0
nan,nan,15.0,53.0,29.75,4.0,33.5,42.0,33.0,40.0,nan,28.5
nan,nan,12.0,44.25,25.5,17.666666666666668,12.0,42.0,17.333333333333332,47.0,nan,16.0
nan,nan,nan,49.5,12.5,9.333333333333334,38.0,42.75,25.333333333333332,26.666666666666668,nan,24.0
nan,nan,18.0,49.25,22.25,11.0,30.0,41.25,31.25,28.5,17.0,13.0
nan,nan,nan,47.25,28.0,13.0,25.5,46.75,29.75,25.0,nan,41.5
nan,nan,10.0,54.75,21.0,nan,25.0,40.5,26.5,22.666666666666668,nan,15.0
nan,nan,5.0,48.5,27.5,7.5,20.75,45.25,23.25,39.0,42.0,nan
nan,nan,24.0,46.25,23.0,nan,23.0,46.0,35.0,27.0,nan,21.333333333333332
nan,nan,nan,40.75,28.333333333333332,18.5,25.333333333333332,41.25,21.5,nan,20.0,22.25
nan,nan,18.0,47.0,27.25,12.5,21.0,41.5,26.5,36.5,nan,8.0
nan,nan,13.5,54.0,27.75,8.0,24.0,41.25,32.0,nan,nan,nan
nan,nan,19.5,50.0,29.5,nan,20.0,51.0,34.333333333333336,32.0,nan,38.333333333333336
nan,nan,13.5,50.5,38.666666666666664,18.0,26.5,44.75,26.0,nan,nan,7.0
nan,nan,22.0,56.75,20.333333333333332,nan,37.0,51.75,31.0,18.5,nan,16.0
nan,nan,nan,48.25,29.75,6.5,nan,47.25,36.0,51.0,nan,11.0
nan,nan,nan,51.5,26.0,13.0,13.0,49.5,37.5,14.0,nan,45.0
nan,nan,14.0,53.666666666666664,24.5,4.0,19.0,64.25,30.666666666666668,7.0,nan,14.0
nan,nan,nan,54.666666666666664,47.0,6.0,18.0,40.0,31.0,nan,14.0,54.0
nan,nan,nan,52.0,45.5,nan,nan,56.5,33.5,nan,nan,1.0
nan,nan,nan,66.5,25.666666666666668,23.0,nan,50.666666666666664,25.0,19.0,nan,53.0
nan,nan,18.0,56.5,42.0,nan,nan,56.25,31.0,44.0,nan,2.0
nan,nan,31.0,57.5,42.5,11.0,nan,60.5,36.0,34.0,22.0,14.0
nan,nan,17.0,55.5,27.75,6.0,31.0,51.75,34.5,28.0,9.0,23.5
nan,nan,15.0,41.25,28.0,19.0,24.0,43.75,13.333333333333334,37.666666666666664,nan,nan
nan,nan,17.0,51.75,28.0,36.0,27.0,42.75,27.666666666666668,34.0,nan,26.0
nan,nan,29.5,45.0,24.666666666666668,21.5,20.0,46.25,28.666666666666668,41.5,nan,42.0
nan,nan,27.0,54.75,23.5,19.333333333333332,31.333333333333332,40.0,30.75,19.333333333333332,nan,14.0
nan,nan,19.0,52.0,29.333333333333332,17.0,6.0,44.75,28.0,41.0,18.0,27.333333333333332
nan,nan,34.0,54.5,27.0,20.333333333333332,10.0,45.25,20.333333333333332,48.0,nan,31.0
nan,nan,4.0,52.75,32.333333333333336,3.5,nan,43.75,25.0,40.0,nan,24.0
nan,nan,27.0,43.5,22.25,5.5,28.0,43.25,28.75,nan,nan,23.0
nan,nan,46.0,43.25,28.0,12.0,10.0,45.5,22.5,35.5,nan,11.0
nan,nan,34.0,45.5,19.5,9.0,20.0,45.25,33.0,nan,nan,26.0
nan,nan,31.0,48.25,21.75,nan,26.0,43.0,16.666666666666668,nan,nan,nan
nan,nan,20.0,52.75,25.5,nan,22.5,40.25,28.75,25.0,nan,25.333333333333332
nan,nan,12.0,48.5,24.666666666666668,21.0,nan,47.5,30.333333333333332,38.5,21.0,14.666666666666666
nan,nan,17.0,50.333333333333336,30.75,4.0,17.0,40.75,22.25,27.666666666666668,nan,26.5
nan,nan,4.0,47.0,26.5,nan,8.0,46.75,26.0,nan,nan,23.0
nan,nan,10.0,57.75,26.25,19.0,17.5,54.75,28.5,11.5,nan,19.666666666666668
nan,nan,nan,52.5,33.666666666666664,nan,26.5,45.25,22.5,nan,nan,18.0
nan,nan,9.0,54.0,29.333333333333332,nan,15.0,60.666666666666664,24.666666666666668,8.0,nan,32.0
nan,nan,14.0,60.333333333333336,nan,nan,nan,43.666666666666664,22.0,36.0,nan,18.0
nan,nan,13.0,nan,29.0,nan,5.0,52.5,nan,35.0,nan,6.5
nan,nan,nan,43.0,29.0,nan,10.0,53.5,48.0,24.0,nan,6.0
nan,nan,nan,54.0,29.333333333333332,nan,21.0,67.66666666666667,21.333333333333332,41.0,nan,11.0
nan,nan,24.0,66.5,44.333333333333336,nan,26.0,50.5,45.0,nan,nan,29.0
nan,nan,15.0,55.0,29.75,nan,7.0,47.0,16.0,6.0,nan,16.666666666666668
nan,nan,10.0,46.75,21.75,9.0,27.0,44.75,26.0,22.666666666666668,nan,11.5
nan,nan,12.5,48.0,35.75,8.0,23.5,45.0,28.5,43.5,20.0,9.5
nan,nan,nan,52.75,25.25,9.0,24.0,44.5,30.25,23.0,nan,27.0
nan,nan,22.0,49.0,27.25,4.0,27.75,44.25,29.0,18.666666666666668,nan,18.333333333333332
nan,nan,4.0,53.0,23.5,7.5,19.0,39.75,30.0,20.0,nan,19.0
nan,nan,26.0,55.25,29.75,21.0,19.0,41.5,28.5,nan,nan,32.666666666666664
nan,nan,22.0,56.5,23.5,nan,21.5,42.25,26.5,27.0,nan,25.0
nan,nan,nan,57.666666666666664,30.0,nan,27.0,34.0,20.666666666666668,35.0,nan,39.0
nan,nan,nan,52.75,24.75,16.5,29.0,45.75,20.333333333333332,31.0,nan,19.0
nan,nan,18.0,50.5,29.0,nan,26.0,43.0,26.666666666666668,38.0,nan,2.0
nan,nan,22.0,52.25,22.75,20.0,26.5,43.25,26.5,41.333333333333336,10.0,17.333333333333332
nan,nan,25.0,51.5,25.75,20.0,25.0,45.0,27.666666666666668,26.5,26.0,21.0
nan,nan,24.5,49.25,25.0,20.5,18.0,44.5,30.0,nan,nan,17.0
nan,nan,4.0,59.75,25.666666666666668,28.0,16.666666666666668,47.0,27.0,nan,25.0,nan
nan,nan,11.333333333333334,52.5,24.0,18.5,33.5,50.25,36.0,nan,nan,13.5
nan,nan,16.666666666666668,54.666666666666664,29.25,23.0,29.0,47.5,30.75,34.0,nan,29.5
nan,nan,12.5,45.666666666666664,27.0,18.333333333333332,11.0,48.5,26.0,37.0,nan,15.0
nan,nan,19.0,55.75,33.0,17.333333333333332,22.5,50.25,5.0,41.0,nan,5.5
nan,nan,46.0,54.0,30.0,23.0,nan,53.666666666666664,28.0,41.0,nan,35.0
nan,nan,21.0,53.0,40.0,nan,nan,55.333333333333336,nan,31.5,nan,16.0
nan,nan,14.0,67.5,29.0,28.0,nan,62.0,31.0,nan,nan,nan
nan,nan,23.0,57.5,35.5,nan,nan,57.333333333333336,38.0,54.0,nan,10.0
nan,nan,nan,60.5,30.666666666666668,7.0,nan,51.0,50.0,nan,nan,nan
nan,nan,16.0,57.0,32.666666666666664,8.333333333333334,nan,55.0,36.0,54.0,24.0,25.666666666666668
nan,nan,14.333333333333334,52.75,25.0,28.0,nan,47.0,28.333333333333332,29.0,nan,15.0
nan,nan,nan,50.75,23.25,7.0,30.0,46.5,24.0,38.5,5.0,16.333333333333332
nan,nan,nan,53.75,33.0,15.0,22.5,45.25,29.0,37.0,nan,25.0
nan,nan,3.0,42.0,21.0,15.0,31.0,44.75,21.0,30.333333333333332,nan,23.0
nan,nan,21.0,49.75,28.666666666666668,25.0,nan,39.75,29.0,35.0,nan,26.5
nan,nan,18.0,45.333333333333336,29.666666666666668,19.0,nan,46.0,28.0,33.5,21.0,19.0
nan,nan,21.0,51.75,27.25,nan,25.0,40.25,26.666666666666668,21.0,nan,20.0
nan,nan,22.5,53.25,25.0,12.0,21.0,48.75,31.0,49.0,nan,nan
nan,nan,17.0,47.333333333333336,37.25,nan,19.0,45.5,29.25,41.0,nan,38.0
nan,nan,nan,50.0,29.0,nan,18.0,47.25,32.333333333333336,41.0,11.0,28.0
nan,nan,11.0,44.25,29.5,9.5,27.0,48.5,34.25,32.0,nan,29.0
nan,nan,20.5,47.25,34.75,nan,19.666666666666668,46.0,25.333333333333332,nan,24.0,26.0
nan,nan,13.5,52.5,29.25,19.0,nan,44.75,29.0,nan,nan,28.5
nan,nan,11.0,49.0,27.333333333333332,nan,22.0,49.5,28.25,34.0,nan,11.0
nan,nan,20.0,46.5,29.0,16.5,42.5,48.0,24.75,23.0,nan,18.0
nan,nan,19.0,48.0,29.666666666666668,7.0,17.5,52.5,40.0,nan,nan,32.5
nan,nan,10.0,59.333333333333336,30.75,20.0,nan,47.333333333333336,38.25,9.0,nan,12.666666666666666
nan,nan,24.0,62.0,27.0,nan,20.5,55.25,28.0,nan,nan,28.5
nan,nan,nan,52.0,36.0,9.0,19.0,49.25,25.333333333333332,42.0,nan,9.0
nan,nan,nan,49.0,35.0,nan,31.0,58.0,nan,49.0,nan,20.0
nan,nan,nan,57.0,35.5,16.0,27.0,65.33333333333333,nan,nan,nan,nan
nan,nan,26.0,52.0,29.0,nan,17.5,66.33333333333333,nan,9.0,nan,nan
nan,nan,20.5,59.666666666666664,27.5,nan,nan,56.25,25.0,nan,nan,59.0
nan,nan,nan,64.0,33.666666666666664,nan,3.0,43.75,22.0,21.0,nan,11.0
nan,nan,46.0,60.0,34.5,15.0,29.0,55.5,29.333333333333332,nan,6.0,8.0
nan,nan,23.0,64.5,31.5,15.0,24.0,45.75,24.5,31.0,nan,nan
nan,nan,4.0,46.666666666666664,31.25,12.0,41.5,58.5,31.75,12.0,14.0,12.0
nan,nan,16.0,46.75,25.75,31.0,nan,47.5,30.5,32.0,8.0,28.5
nan,nan,14.5,45.75,30.333333333333332,15.0,16.0,47.25,19.75,39.333333333333336,nan,43.0
nan,nan,9.0,49.0,32.0,20.0,nan,47.5,31.333333333333332,43.0,nan,28.666666666666668
nan,nan,nan,52.0,26.333333333333332,19.0,7.0,46.666666666666664,32.0,18.0,nan,nan
nan,nan,nan,56.5,35.75,16.0,3.0,49.0,26.0,14.0,nan,22.25
nan,nan,16.0,51.5,31.0,19.0,25.5,43.666666666666664,27.666666666666668,31.5,27.0,29.333333333333332
nan,nan,15.0,47.0,24.0,23.0,nan,48.5,14.0,nan,nan,20.5
nan,nan,nan,50.25,29.0,nan,26.75,50.666666666666664,24.5,22.0,25.0,20.0
nan,nan,18.0,52.0,30.0,nan,17.0,48.0,33.75,25.0,nan,39.0
nan,nan,nan,53.5,22.0,13.0,18.0,48.75,19.5,nan,nan,25.5
nan,nan,nan,50.5,34.0,nan,30.0,38.25,21.75,30.0,16.0,18.0
nan,nan,nan,48.0,30.5,19.5,25.0,45.666666666666664,30.5,18.0,nan,21.333333333333332
nan,nan,nan,58.75,29.0,5.5,24.0,51.0,32.5,25.0,nan,21.5
nan,nan,nan,49.25,56.0,28.0,12.0,46.75,33.5,nan,nan,47.0
nan,nan,nan,41.5,28.0,3.0,nan,71.5,27.0,nan,nan,31.333333333333332
nan,nan,nan,47.25,29.5,18.0,32.0,52.0,17.0,nan,nan,6.0
nan,nan,15.0,55.666666666666664,31.0,16.0,nan,47.333333333333336,33.0,21.5,nan,nan
nan,nan,nan,65.5,nan,nan,20.0,57.0,30.5,nan,nan,15.0
nan,nan,nan,63.5,47.666666666666664,nan,nan,41.666666666666664,nan,nan,41.0,8.5
nan,nan,22.0,56.666666666666664,35.666666666666664,nan,nan,53.333333333333336,13.0,nan,nan,nan
nan,nan,nan,57.5,30.0,8.0,10.333333333333334,56.0,56.0,nan,nan,53.0
nan,nan,26.0,58.0,38.5,nan,13.0,60.0,25.5,22.0,nan,15.333333333333334
nan,nan,7.0,55.5,36.333333333333336,17.0,24.0,56.0,19.0,nan,23.666666666666668,11.0
nan,nan,nan,65.75,38.5,40.0,16.0,51.25,22.75,31.5,nan,37.0
nan,nan,20.0,49.25,36.333333333333336,15.0,16.0,44.0,29.25,43.0,nan,17.0
nan,nan,30.0,54.0,28.25,nan,18.0,50.25,21.0,1.0,nan,27.5
nan,nan,nan,55.0,33.0,19.0,nan,44.5,34.0,nan,nan,41.0
nan,nan,14.0,46.5,23.0,1.0,24.0,55.5,18.666666666666668,39.5,nan,nan
nan,nan,nan,55.75,31.666666666666668,11.0,16.5,53.0,29.666666666666668,nan,nan,12.0
nan,nan,14.0,68.33333333333333,31.0,26.666666666666668,27.0,56.0,39.0,25.0,nan,16.0
nan,nan,nan,63.0,35.25,17.0,11.0,45.0,16.0,33.0,nan,27.0
nan,nan,15.0,55.75,28.5,8.0,24.0,55.5,34.333333333333336,51.0,nan,nan
nan,nan,nan,45.5,25.0,9.0,nan,50.0,27.5,36.333333333333336,nan,nan
nan,nan,nan,52.75,31.666666666666668,13.0,26.5,58.5,38.666666666666664,nan,nan,30.0
nan,nan,8.0,60.5,28.5,10.0,23.5,47.25,27.25,24.0,nan,25.0
nan,nan,16.0,56.75,nan,16.0,31.0,49.5,31.5,68.0,nan,24.5
nan,nan,nan,32.0,33.333333333333336,nan,35.0,40.75,20.666666666666668,69.0,nan,13.0
nan,nan,nan,45.0,31.5,nan,nan,57.666666666666664,18.5,nan,nan,39.0
nan,nan,nan,57.333333333333336,24.0,15.0,nan,52.0,8.0,26.666666666666668,nan,27.0
nan,nan,nan,52.25,36.0,nan,nan,47.0,40.5,39.0,nan,32.5
nan,nan,nan,63.0,11.0,17.0,nan,46.0,30.5,nan,nan,13.0
nan,nan,nan,48.0,35.0,22.0,nan,72.0,26.0,nan,nan,nan
nan,nan,29.0,48.0,nan,nan,nan,60.0,7.0,nan,nan,nan
nan,nan,22.0,64.0,14.0,nan,nan,57.0,nan,nan,nan,19.5
nan,nan,32.0,nan,31.0,8.0,21.0,57.0,18.5,nan,nan,nan
nan,nan,19.0,79.0,nan,nan,25.0,58.666666666666664,nan,15.0,nan,12.0
nan,nan,nan,58.0,11.0,9.0,nan,51.5,48.0,nan,nan,20.0
nan,nan,nan,51.666666666666664,22.0,15.0,29.0,57.666666666666664,29.5,nan,nan,12.0
nan,nan,nan,56.333333333333336,9.0,3.5,nan,57.25,34.333333333333336,nan,nan,nan
nan,nan,19.0,67.5,29.5,nan,30.0,53.75,23.5,30.5,nan,nan
nan,nan,nan,51.0,27.333333333333332,30.0,14.0,49.5,34.0,nan,nan,13.0
nan,nan,35.0,56.0,35.333333333333336,15.666666666666666,19.0,54.75,22.0,16.0,nan,10.0
nan,nan,14.0,56.5,27.0,12.0,nan,50.75,7.0,30.0,nan,nan
nan,nan,20.0,58.0,30.0,nan,12.0,45.333333333333336,39.0,39.5,nan,19.5
nan,nan,24.0,56.5,28.333333333333332,27.0,nan,61.0,34.333333333333336,nan,nan,nan
nan,nan,nan,52.75,22.333333333333332,nan,23.0,44.666666666666664,34.5,22.0,nan,29.5
nan,nan,nan,54.5,32.0,nan,nan,49.25,38.5,54.0,nan,48.0
nan,nan,17.0,52.75,28.333333333333332,21.0,31.0,62.333333333333336,19.5,38.0,nan,28.0
nan,nan,nan,53.5,30.0,22.0,nan,51.666666666666664,21.333333333333332,33.0,nan,12.0
nan,nan,nan,59.0,28.666666666666668,nan,24.0,50.0,26.0,nan,nan,15.333333333333334
nan,nan,nan,58.0,36.333333333333336,19.0,28.0,56.333333333333336,27.666666666666668,45.5,nan,13.0
nan,nan,15.5,46.5,33.0,nan,nan,38.666666666666664,20.0,60.0,nan,nan
nan,nan,42.0,49.5,40.0,nan,18.0,nan,nan,36.0,nan,nan
nan,nan,nan,60.0,48.0,11.5,11.0,52.0,nan,nan,nan,nan
nan,nan,nan,37.0,34.0,nan,nan,54.0,nan,17.0,nan,nan
nan,nan,13.0,nan,35.0,38.0,nan,58.333333333333336,nan,nan,nan,nan
nan,nan,nan,nan,17.5,nan,26.0,56.0,nan,nan,nan,nan
nan,nan,nan,71.5,46.5,nan,nan,59.0,nan,nan,nan,73.0
nan,nan,nan,73.0,43.0,nan,nan,59.0,17.0,6.0,nan,9.0
nan,nan,26.0,60.333333333333336,18.0,nan,nan,58.333333333333336,38.0,52.0,nan,38.0
nan,nan,23.0,67.33333333333333,nan,nan,23.0,56.5,37.0,26.0,nan,nan
nan,nan,9.0,67.0,35.0,nan,nan,64.66666666666667,34.0,nan,nan,14.0
nan,nan,26.0,53.333333333333336,35.0,11.0,26.0,53.0,29.5,30.0,nan,11.0
nan,nan,nan,50.0,18.0,nan,3.0,41.75,25.666666666666668,nan,nan,10.0
nan,nan,21.0,58.25,34.333333333333336,39.0,22.0,51.25,22.5,3.0,nan,46.0
nan,nan,27.0,51.333333333333336,37.25,19.0,nan,52.5,27.5,nan,nan,56.0
nan,nan,6.0,49.5,31.666666666666668,nan,2.0,50.75,19.5,1.0,23.0,15.0
nan,nan,15.0,45.0,34.333333333333336,4.0,42.0,48.25,35.5,17.0,nan,nan
nan,nan,4.0,43.5,32.0,18.5,nan,44.0,26.666666666666668,7.0,nan,24.0
nan,nan,25.5,42.5,33.333333333333336,18.0,22.0,53.333333333333336,24.0,nan,nan,12.0
nan,nan,nan,66.25,30.0,14.0,46.0,47.25,25.0,14.0,nan,nan
nan,nan,nan,47.25,29.5,18.5,nan,47.25,15.666666666666666,nan,nan,nan
nan,nan,27.0,42.666666666666664,27.333333333333332,17.0,18.0,46.5,34.5,nan,29.0,42.5
nan,nan,31.0,55.666666666666664,37.0,nan,23.0,50.0,28.0,38.0,nan,24.0
nan,nan,nan,59.25,39.25,6.0,19.0,53.75,19.333333333333332,37.0,nan,35.0
nan,nan,39.0,59.0,23.75,12.0,26.333333333333332,54.333333333333336,23.0,nan,nan,12.0
nan,nan,nan,55.0,nan,nan,22.666666666666668,62.5,25.0,52.0,nan,40.666666666666664
nan,nan,29.0,42.0,36.0,24.0,nan,69.0,24.0,nan,nan,nan
nan,nan,18.0,26.0,32.5,nan,nan,55.0,26.0,nan,nan,nan
nan,nan,nan,61.0,34.5,14.0,nan,62.333333333333336,nan,nan,nan,nan
nan,nan,nan,69.0,49.5,nan,29.0,57.5,29.5,12.0,nan,nan
nan,nan,nan,47.0,37.0,nan,nan,32.666666666666664,28.0,nan,nan,43.5
nan,nan,nan,55.5,21.0,17.0,32.5,49.5,27.5,32.0,nan,26.0
nan,nan,22.0,54.75,35.333333333333336,nan,27.5,43.0,30.0,24.0,nan,19.333333333333332
nan,nan,17.0,40.0,29.0,13.5,37.5,47.0,27.25,60.0,nan,25.0
nan,nan,8.0,54.25,31.5,10.5,15.0,45.25,36.5,nan,nan,29.0
nan,nan,18.0,46.0,30.75,nan,nan,41.0,30.666666666666668,20.0,nan,31.666666666666668
nan,nan,7.0,48.666666666666664,30.5,nan,24.0,49.0,16.5,37.333333333333336,nan,28.0
nan,nan,36.0,45.25,26.0,34.0,nan,49.75,26.333333333333332,13.0,nan,21.0
nan,nan,23.0,49.75,31.5,10.5,29.0,46.25,31.5,49.0,nan,46.5
nan,nan,12.0,55.75,20.333333333333332,22.0,24.0,45.25,21.5,32.0,8.0,21.0
nan,nan,17.0,52.666666666666664,35.25,20.0,23.0,51.333333333333336,31.0,47.0,nan,25.333333333333332
nan,nan,22.5,48.75,30.333333333333332,20.0,18.0,40.5,27.0,21.0,47.0,33.0
nan,nan,13.0,52.0,36.0,20.333333333333332,nan,43.75,32.5,38.333333333333336,nan,35.666666666666664
nan,nan,17.0,50.75,30.5,22.0,22.0,36.5,25.75,48.0,nan,22.0
nan,nan,12.0,59.0,26.75,10.5,7.0,48.25,29.333333333333332,25.0,nan,45.5
nan,nan,18.0,50.0,24.5,15.75,24.0,47.5,26.666666666666668,33.5,nan,37.0
nan,nan,27.0,47.5,31.0,nan,23.0,50.25,31.0,34.0,nan,19.333333333333332
nan,nan,12.5,55.0,38.0,5.0,20.0,55.0,25.333333333333332,29.0,18.0,nan
nan,nan,nan,56.0,36.75,16.666666666666668,28.0,54.5,35.0,nan,nan,23.5
nan,nan,31.0,47.0,27.666666666666668,nan,nan,51.0,nan,nan,nan,11.0
nan,nan,24.0,52.0,35.0,nan,10.0,59.5,44.0,18.0,nan,nan
nan,nan,26.0,57.666666666666664,36.0,nan,13.0,55.666666666666664,5.0,nan,nan,31.0
nan,nan,nan,61.0,28.0,nan,22.0,63.75,nan,29.0,nan,19.5
