NO#APT2018,NO2APT2018,Εθνικης Αμυνης(1392),Αγιου Δημητριου(1479),Αγιου Δημητριου(1514),Εθνικης Αμυνης(1803),Πανεπιστημιου(1896),Αγιου Δημητριου(2090),Αγιου Δημητριου(2183),Προς Αγιου Δημητριου(727),Αγιου Δημητριου(800),Προς Εθνικης Αμυνης(843)
nan,nan,9.333333333333334,60.25,29.5,13.5,24.0,39.75,21.333333333333332,33.0,8.0,34.5
nan,nan,25.0,57.25,22.0,14.5,18.666666666666668,44.75,31.333333333333332,36.333333333333336,nan,32.0
nan,nan,21.5,44.0,25.5,10.0,nan,43.5,25.0,50.0,21.0,15.0
nan,nan,22.0,52.75,27.25,38.0,18.5,48.25,19.75,25.0,8.0,22.0
nan,nan,18.5,52.75,21.25,22.0,20.5,50.0,31.333333333333332,15.0,nan,37.0
nan,nan,nan,41.5,29.25,1.0,nan,46.5,19.5,10.0,nan,11.0
nan,nan,11.5,55.75,35.333333333333336,15.0,24.0,44.25,29.666666666666668,26.333333333333332,19.0,17.0
nan,nan,15.0,55.25,32.25,5.0,nan,54.333333333333336,27.333333333333332,16.5,nan,22.5
nan,nan,nan,59.0,33.0,3.0,16.0,47.5,35.0,59.0,nan,28.0
nan,nan,nan,48.25,35.0,5.0,nan,59.0,23.5,24.0,nan,8.0
nan,nan,nan,55.75,24.666666666666668,3.0,nan,51.5,27.333333333333332,nan,nan,22.0
nan,nan,nan,46.333333333333336,37.666666666666664,nan,16.0,62.0,nan,nan,nan,13.0
nan,nan,17.5,43.5,27.0,nan,nan,53.0,nan,nan,nan,21.0
nan,nan,15.0,nan,23.0,nan,nan,58.0,5.0,19.0,nan,23.0
nan,nan,nan,46.0,34.5,28.5,18.0,51.5,16.5,nan,nan,14.0
nan,nan,23.0,55.25,29.0,15.0,23.0,49.5,27.0,30.0,nan,25.666666666666668
nan,nan,nan,43.75,32.75,nan,27.0,45.75,30.0,26.75,18.0,26.0
nan,nan,nan,51.5,36.5,16.0,19.0,43.25,23.0,33.666666666666664,nan,13.5
nan,nan,nan,43.5,27.0,25.0,25.5,43.5,26.25,43.5,nan,19.0
nan,nan,19.5,46.25,27.25,12.333333333333334,17.0,41.75,23.75,37.0,nan,33.0
nan,nan,25.333333333333332,55.5,25.5,14.5,24.666666666666668,45.0,28.666666666666668,27.0,19.0,31.5
nan,nan,22.5,50.25,32.0,20.0,nan,43.75,38.666666666666664,18.0,nan,17.5
nan,nan,24.0,46.75,21.75,3.0,32.75,37.5,29.0,19.0,nan,17.0
