BenzAGS2018,CO#AGS2018,NO#AGS2018,NO2AGS2018,O3#AGS2018,PM10AGS2018,PM2.5AGS2018,SO2AGS2018,Πλατεια Αγιας Σοφιας(1264),Ερμου(2378),Καρολου Ντηλ(2872),Καρολου Ντηλ(3026),Πλατεια Αγιας Σοφιας(695),Ερμου(808),Πλατεια Αγιας Σοφιας(890),Πλατεια Αγιας Σοφιας(919),Ερμου(975)
5.81,nan,nan,nan,nan,58.0,nan,nan,18.5,23.0,20.0,28.25,13.75,33.0,14.5,nan,26.333333333333332
3.9,nan,nan,nan,nan,37.0,nan,nan,13.0,29.0,26.0,27.666666666666668,15.0,27.0,18.0,13.0,nan
2.93,nan,nan,nan,nan,27.0,nan,nan,14.0,29.333333333333332,16.0,24.5,13.0,21.0,15.5,19.0,14.0
2.06,nan,nan,nan,nan,26.0,nan,nan,21.0,25.666666666666668,11.0,34.0,nan,33.0,nan,18.0,27.0
1.53,nan,nan,nan,nan,20.0,nan,nan,nan,nan,18.5,28.5,nan,nan,nan,nan,24.0
1.06,nan,nan,nan,nan,17.0,nan,nan,nan,37.0,41.0,26.333333333333332,nan,32.5,nan,nan,nan
0.91,nan,nan,nan,nan,18.0,nan,nan,26.0,45.0,nan,41.0,nan,nan,nan,nan,nan
0.87,nan,nan,nan,nan,17.0,nan,nan,nan,nan,46.0,nan,nan,nan,nan,nan,nan
1.02,nan,nan,nan,nan,20.0,nan,nan,nan,28.0,nan,25.0,nan,nan,nan,nan,nan
2.57,nan,nan,nan,nan,25.0,nan,nan,21.0,9.0,29.5,15.0,4.0,32.0,22.0,nan,nan
4.56,nan,nan,nan,nan,38.0,nan,nan,18.333333333333332,15.75,17.0,16.333333333333332,23.0,28.333333333333332,27.0,17.0,19.333333333333332
4.7,nan,nan,nan,nan,33.0,nan,nan,12.0,14.0,13.333333333333334,14.0,12.0,19.333333333333332,15.333333333333334,nan,22.333333333333332
4.97,nan,nan,nan,nan,40.0,nan,nan,10.0,15.25,11.666666666666666,16.5,9.5,23.75,13.25,11.5,12.333333333333334
5.76,nan,nan,nan,nan,42.0,nan,nan,15.0,19.666666666666668,19.666666666666668,14.5,11.333333333333334,17.0,11.0,16.0,19.75
4.28,nan,nan,nan,nan,42.0,nan,nan,8.333333333333334,10.25,11.75,26.75,6.0,20.75,10.0,15.0,16.0
4.6,nan,nan,nan,nan,34.0,nan,nan,8.5,11.0,12.0,14.0,11.666666666666666,17.666666666666668,19.0,17.0,20.333333333333332
5.53,nan,nan,nan,nan,43.0,nan,nan,14.0,16.666666666666668,11.666666666666666,12.0,12.333333333333334,18.75,12.0,10.0,6.0
5.96,nan,nan,nan,nan,43.0,nan,nan,nan,18.5,24.333333333333332,18.0,10.333333333333334,19.666666666666668,14.333333333333334,17.0,19.0
5.24,nan,nan,nan,nan,40.0,nan,nan,19.0,11.333333333333334,21.75,16.75,7.5,18.25,16.666666666666668,17.0,25.666666666666668
4.84,nan,nan,nan,nan,45.0,nan,nan,14.0,26.5,15.666666666666666,22.666666666666668,11.333333333333334,24.0,16.0,14.0,18.0
8.03,nan,nan,nan,nan,48.0,nan,nan,6.5,22.25,21.0,23.0,12.666666666666666,26.0,8.333333333333334,13.5,18.5
7.17,nan,nan,nan,nan,54.0,nan,nan,25.0,18.666666666666668,23.5,16.5,8.5,17.75,13.0,nan,14.666666666666666
7.24,nan,nan,nan,nan,63.0,nan,nan,9.333333333333334,19.0,18.333333333333332,20.666666666666668,13.5,23.0,11.666666666666666,13.0,25.0
7.07,nan,nan,nan,nan,60.0,nan,nan,14.5,20.0,39.0,20.75,15.5,23.25,7.0,19.0,22.0
6.2,nan,nan,nan,nan,59.0,nan,nan,17.0,24.666666666666668,26.0,24.333333333333332,16.333333333333332,33.0,13.0,nan,26.5
4.72,nan,nan,nan,nan,50.0,nan,nan,29.0,27.333333333333332,12.0,12.666666666666666,nan,20.5,24.666666666666668,13.333333333333334,21.25
3.11,nan,nan,nan,nan,38.0,nan,nan,23.0,24.75,nan,25.333333333333332,22.0,28.666666666666668,nan,18.0,16.0
3.37,nan,nan,nan,nan,34.0,nan,nan,nan,19.5,30.0,16.5,4.0,11.0,5.0,nan,24.5
4.64,nan,nan,nan,nan,32.0,nan,nan,nan,36.0,8.0,39.0,7.0,22.5,19.0,nan,nan
7.05,nan,nan,nan,nan,52.0,nan,nan,nan,34.0,nan,40.0,nan,nan,nan,nan,38.0
5.2,nan,nan,nan,nan,52.0,nan,nan,nan,nan,nan,50.0,22.0,12.0,nan,nan,29.0
4.12,nan,nan,nan,nan,51.0,nan,nan,nan,37.0,nan,56.0,nan,nan,nan,nan,nan
5.83,nan,nan,nan,nan,57.0,nan,nan,16.0,22.5,nan,20.0,nan,nan,nan,nan,nan
6.37,nan,nan,nan,nan,70.0,nan,nan,12.0,19.0,15.333333333333334,25.5,9.0,nan,24.0,nan,24.0
7.6,nan,nan,nan,nan,102.0,nan,nan,9.0,18.75,24.0,18.75,15.0,25.5,14.666666666666666,14.0,17.5
11.66,nan,nan,nan,nan,112.0,nan,nan,13.0,14.5,23.5,17.0,18.0,16.0,19.5,22.0,19.0
11.16,nan,nan,nan,nan,137.0,nan,nan,13.0,15.0,19.25,24.75,18.0,27.5,12.5,17.0,23.0
8.8,nan,nan,nan,nan,120.0,nan,nan,16.5,19.666666666666668,13.333333333333334,17.25,11.5,21.0,25.0,12.0,18.666666666666668
7.86,nan,nan,nan,nan,94.0,nan,nan,13.0,12.25,13.5,18.5,10.0,16.0,11.333333333333334,nan,17.666666666666668
10.06,nan,nan,nan,nan,88.0,nan,nan,20.0,8.0,11.0,16.0,nan,nan,nan,nan,nan
4.78,nan,nan,nan,nan,89.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.34,nan,nan,nan,nan,49.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.21,nan,nan,nan,nan,41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.51,nan,nan,nan,nan,42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.99,nan,nan,nan,nan,48.0,nan,nan,8.0,13.0,nan,29.0,24.0,nan,4.0,5.0,4.0
6.82,nan,nan,nan,nan,57.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.77,nan,nan,nan,nan,53.0,nan,nan,4.0,16.0,nan,21.0,6.0,nan,9.0,nan,nan
10.17,nan,nan,nan,nan,58.0,nan,nan,nan,15.5,27.0,14.75,16.5,nan,8.0,12.5,25.75
9.77,nan,nan,nan,nan,88.0,nan,nan,26.0,25.0,15.0,28.0,7.0,33.0,12.666666666666666,15.0,24.0
10.98,nan,nan,nan,nan,72.0,nan,nan,19.0,26.5,28.5,25.5,16.0,27.333333333333332,18.5,17.0,25.666666666666668
9.43,nan,nan,nan,nan,83.0,nan,nan,nan,23.25,15.0,28.0,nan,32.333333333333336,36.0,16.5,37.0
9.68,nan,nan,nan,nan,85.0,nan,nan,22.0,28.5,36.0,19.5,19.5,nan,27.5,nan,19.5
8.89,nan,nan,nan,nan,80.0,nan,nan,26.0,17.333333333333332,nan,23.5,nan,27.333333333333332,16.0,nan,5.0
5.46,nan,nan,nan,nan,62.0,nan,nan,24.0,28.5,22.666666666666668,38.5,nan,nan,nan,19.0,27.5
5.3,nan,nan,nan,nan,50.0,nan,nan,nan,35.0,22.0,nan,nan,34.0,nan,nan,nan
5.88,nan,nan,nan,nan,51.0,nan,nan,nan,nan,nan,38.0,nan,nan,nan,nan,26.0
6.01,nan,nan,nan,nan,55.0,nan,nan,nan,nan,15.0,58.0,nan,nan,nan,16.5,31.0
5.6,nan,nan,nan,nan,67.0,nan,nan,27.0,23.0,37.0,12.0,nan,28.5,28.0,nan,28.0
8.28,nan,nan,nan,nan,63.0,nan,nan,11.0,19.0,15.5,21.333333333333332,nan,34.0,21.0,15.0,27.0
7.1,nan,nan,nan,nan,71.0,nan,nan,16.0,21.666666666666668,11.5,12.5,9.666666666666666,25.0,20.0,9.0,24.0
10.86,nan,nan,nan,nan,104.0,nan,nan,5.0,15.75,12.666666666666666,15.75,12.333333333333334,24.0,nan,17.5,26.0
nan,nan,nan,nan,nan,134.0,nan,nan,10.5,5.333333333333333,11.333333333333334,20.333333333333332,13.333333333333334,20.0,8.0,nan,15.75
nan,nan,nan,nan,nan,146.0,nan,nan,nan,16.0,15.666666666666666,19.0,13.0,16.75,12.0,11.666666666666666,9.5
nan,nan,nan,nan,nan,64.0,nan,nan,7.666666666666667,9.75,13.0,20.25,12.0,16.666666666666668,4.5,9.0,15.0
7.36,nan,nan,nan,nan,48.0,nan,nan,17.5,6.5,13.0,17.5,7.5,20.666666666666668,9.25,nan,11.5
4.7,nan,nan,nan,nan,49.0,nan,nan,15.5,3.0,13.25,10.0,13.0,15.0,7.0,14.0,17.0
3.72,nan,nan,nan,nan,38.0,nan,nan,13.5,13.0,13.666666666666666,19.5,11.0,32.0,9.0,11.666666666666666,19.0
3.69,nan,nan,nan,nan,38.0,nan,nan,10.0,23.0,12.0,17.666666666666668,15.5,23.0,nan,14.5,17.5
4.35,nan,nan,nan,nan,26.0,nan,nan,9.333333333333334,10.0,12.5,17.25,12.0,21.0,9.0,12.666666666666666,17.333333333333332
4.46,nan,nan,nan,nan,22.0,nan,nan,nan,15.25,12.75,12.333333333333334,5.0,22.25,7.0,6.5,20.5
4.04,nan,nan,nan,nan,26.0,nan,nan,8.333333333333334,17.5,22.5,13.333333333333334,14.0,19.5,14.0,nan,17.0
4.15,nan,nan,nan,nan,41.0,nan,nan,15.0,9.0,23.0,15.666666666666666,17.5,6.0,13.0,7.0,13.0
3.99,nan,nan,nan,nan,64.0,nan,nan,12.0,18.666666666666668,23.666666666666668,9.25,17.5,21.0,10.0,7.0,23.0
5.84,nan,nan,nan,nan,71.0,nan,nan,8.5,22.5,20.333333333333332,16.5,15.0,27.5,17.0,23.0,25.333333333333332
8.29,nan,nan,nan,nan,107.0,nan,nan,nan,25.25,24.5,15.5,nan,29.75,16.0,nan,23.666666666666668
9.49,nan,nan,nan,nan,104.0,nan,nan,16.5,26.0,24.25,23.666666666666668,18.0,nan,14.5,12.0,31.0
1.78,nan,nan,nan,nan,56.0,nan,nan,26.0,23.0,17.5,26.0,12.0,33.0,22.5,nan,24.5
0.74,nan,nan,nan,nan,27.0,nan,nan,6.0,23.75,36.5,36.0,16.0,nan,nan,nan,18.5
0.47,nan,nan,nan,nan,20.0,nan,nan,nan,31.75,22.5,31.333333333333332,nan,32.0,nan,18.0,27.0
0.44,nan,nan,nan,nan,16.0,nan,nan,nan,26.0,36.0,34.5,nan,nan,nan,19.0,39.0
0.25,nan,nan,nan,nan,18.0,nan,nan,nan,32.0,14.0,24.666666666666668,20.5,37.0,nan,nan,23.0
0.34,nan,nan,nan,nan,17.0,nan,nan,17.0,nan,19.5,33.333333333333336,nan,30.0,nan,16.0,nan
0.76,nan,nan,nan,nan,15.0,nan,nan,nan,22.5,24.0,19.0,nan,29.666666666666668,nan,23.0,nan
1.55,nan,nan,nan,nan,22.0,nan,nan,16.0,29.0,15.0,17.0,12.0,22.0,nan,nan,13.5
1.76,nan,nan,nan,nan,42.0,nan,nan,8.5,18.666666666666668,17.666666666666668,19.75,28.0,33.0,17.333333333333332,13.5,17.333333333333332
1.65,nan,nan,nan,nan,30.0,nan,nan,10.0,20.666666666666668,14.0,21.75,9.5,27.666666666666668,20.0,12.666666666666666,16.0
2.13,nan,nan,nan,nan,26.0,nan,nan,nan,11.333333333333334,15.0,13.25,nan,23.5,13.0,12.0,25.5
1.77,nan,nan,nan,nan,28.0,nan,nan,25.0,7.666666666666667,17.0,19.666666666666668,9.0,4.5,11.0,17.0,16.0
1.85,nan,nan,nan,nan,22.0,nan,nan,14.0,16.25,14.5,14.333333333333334,9.0,28.5,14.5,8.0,18.25
1.5,nan,nan,nan,nan,31.0,nan,nan,11.666666666666666,20.0,22.0,20.25,12.0,20.0,9.5,1.0,nan
1.86,nan,nan,nan,nan,28.0,nan,nan,14.0,17.0,20.666666666666668,13.5,nan,26.0,11.666666666666666,15.0,nan
1.58,nan,nan,nan,nan,32.0,nan,nan,15.0,25.0,15.5,13.0,15.0,25.0,nan,13.0,29.5
1.58,nan,nan,nan,nan,28.0,nan,nan,nan,18.75,20.5,12.75,15.75,27.666666666666668,15.5,14.5,16.75
1.91,nan,nan,nan,nan,31.0,nan,nan,8.0,15.5,9.0,6.0,16.0,30.5,10.333333333333334,17.666666666666668,28.5
1.63,nan,nan,nan,nan,31.0,nan,nan,17.0,20.75,15.5,13.5,17.0,17.0,nan,nan,23.5
1.62,nan,nan,nan,nan,24.0,nan,nan,27.0,10.5,23.25,14.0,nan,19.0,11.0,17.0,19.666666666666668
1.89,nan,nan,nan,nan,31.0,nan,nan,13.0,10.25,16.5,11.75,7.0,29.0,16.0,14.0,11.666666666666666
1.95,nan,nan,nan,nan,31.0,nan,nan,20.5,9.0,12.666666666666666,13.0,14.0,nan,5.0,11.0,15.666666666666666
1.33,nan,nan,nan,nan,30.0,nan,nan,12.5,18.5,14.666666666666666,16.25,18.0,30.333333333333332,20.0,4.0,17.0
1.18,nan,nan,nan,nan,26.0,nan,nan,18.75,21.5,28.5,12.5,12.0,28.0,nan,20.0,24.666666666666668
0.81,nan,nan,nan,nan,23.0,nan,nan,14.0,26.25,26.333333333333332,20.0,16.333333333333332,33.0,nan,nan,26.75
0.53,nan,nan,nan,nan,14.0,nan,nan,12.0,28.333333333333332,33.0,20.333333333333332,27.0,29.666666666666668,nan,nan,27.0
0.34,nan,nan,nan,nan,12.0,nan,nan,nan,35.5,24.0,42.0,17.5,nan,15.0,21.0,37.0
0.4,nan,nan,nan,nan,11.0,nan,nan,21.0,27.666666666666668,39.0,34.333333333333336,36.0,nan,nan,nan,27.5
1.57,nan,nan,nan,nan,14.0,nan,nan,nan,25.0,nan,58.0,nan,27.0,nan,nan,25.0
1.4,nan,nan,nan,nan,17.0,nan,nan,nan,34.0,37.0,30.0,20.0,27.0,nan,nan,nan
1.32,nan,nan,nan,nan,15.0,nan,nan,nan,21.0,nan,28.333333333333332,23.0,34.5,nan,nan,14.0
1.73,nan,nan,nan,nan,11.0,nan,nan,36.0,33.0,28.0,29.0,12.0,24.0,nan,nan,nan
2.85,nan,nan,nan,nan,19.0,nan,nan,17.5,23.75,23.0,21.0,21.0,nan,19.0,8.0,23.0
4.08,nan,nan,nan,nan,20.0,nan,nan,2.6666666666666665,25.333333333333332,14.5,23.75,14.0,26.0,26.0,16.0,17.5
2.15,nan,nan,nan,nan,15.0,nan,nan,15.0,20.666666666666668,23.0,16.5,9.0,30.0,nan,9.0,9.0
2.14,nan,nan,nan,nan,19.0,nan,nan,nan,16.5,37.0,nan,9.333333333333334,19.75,10.0,17.0,17.5
3.03,nan,nan,nan,nan,45.0,nan,nan,nan,22.5,36.0,32.0,15.0,36.0,13.5,nan,23.5
2.71,nan,nan,nan,nan,42.0,nan,nan,17.0,26.5,20.666666666666668,21.0,nan,12.0,20.0,6.0,28.333333333333332
2.96,nan,nan,nan,nan,27.0,nan,nan,nan,22.666666666666668,21.0,13.0,nan,24.5,16.5,14.0,23.5
2.86,nan,nan,nan,nan,33.0,nan,nan,18.0,14.333333333333334,28.0,18.5,nan,11.333333333333334,17.0,12.0,16.5
6.19,nan,nan,nan,nan,26.0,nan,nan,13.0,5.75,17.0,12.0,14.0,13.0,19.5,7.0,15.5
5.8,nan,nan,nan,nan,30.0,nan,nan,15.0,12.666666666666666,13.25,18.666666666666668,9.0,18.0,18.0,nan,17.0
5.11,nan,nan,nan,nan,38.0,nan,nan,7.0,9.0,25.0,12.333333333333334,nan,25.666666666666668,11.5,19.0,14.666666666666666
2.22,nan,nan,nan,nan,25.0,nan,nan,17.0,28.0,10.0,16.0,21.5,38.0,7.0,15.0,13.0
2.78,nan,nan,nan,nan,20.0,nan,nan,23.0,32.0,25.0,30.0,17.0,32.0,9.0,nan,25.666666666666668
2.38,nan,nan,nan,nan,23.0,nan,nan,nan,35.0,nan,21.5,13.0,24.75,13.0,nan,10.0
3.22,nan,nan,nan,nan,20.0,nan,nan,25.0,28.0,11.0,23.333333333333332,nan,23.0,9.0,nan,27.0
2.68,nan,nan,nan,nan,24.0,nan,nan,nan,28.0,nan,28.5,nan,37.0,nan,nan,26.0
2.69,nan,nan,nan,nan,18.0,nan,nan,22.0,30.0,11.0,26.0,4.0,29.0,nan,18.0,36.0
0.81,nan,nan,nan,nan,10.0,nan,nan,nan,29.333333333333332,26.0,47.0,nan,nan,16.0,nan,nan
0.7,nan,nan,nan,nan,9.0,nan,nan,nan,28.0,10.5,22.0,nan,nan,nan,nan,30.0
0.77,nan,nan,nan,nan,11.0,nan,nan,nan,39.5,50.0,29.666666666666668,nan,nan,nan,nan,30.0
1.51,nan,nan,nan,nan,14.0,nan,nan,23.0,nan,50.5,24.0,nan,30.0,nan,nan,nan
2.72,nan,nan,nan,nan,24.0,nan,nan,nan,16.5,24.0,13.0,nan,nan,nan,17.0,nan
4.19,nan,nan,nan,nan,30.0,nan,nan,12.0,20.0,15.0,20.5,16.0,15.0,15.0,7.0,18.0
5.54,nan,nan,nan,nan,39.0,nan,nan,8.5,14.25,17.5,18.0,15.0,28.666666666666668,nan,19.0,19.666666666666668
5.3,nan,nan,nan,nan,40.0,nan,nan,nan,13.333333333333334,16.5,13.25,12.666666666666666,18.0,20.0,21.0,16.0
4.78,nan,nan,nan,nan,34.0,nan,nan,8.333333333333334,14.5,18.0,12.5,12.333333333333334,20.75,10.0,13.0,12.666666666666666
4.9,nan,nan,nan,nan,25.0,nan,nan,16.333333333333332,8.25,27.666666666666668,16.0,13.0,19.0,13.5,8.5,19.0
3.1,nan,nan,nan,nan,23.0,nan,nan,11.0,6.0,10.0,13.25,14.0,16.666666666666668,12.666666666666666,12.75,10.0
2.03,nan,nan,nan,nan,21.0,nan,nan,15.0,32.0,4.0,20.5,9.0,22.25,11.0,nan,nan
2.81,nan,nan,nan,nan,22.0,nan,nan,20.0,7.25,32.333333333333336,17.333333333333332,12.0,21.0,13.0,8.0,17.666666666666668
2.48,nan,nan,nan,nan,20.0,nan,nan,16.0,14.0,16.0,17.0,11.333333333333334,24.0,13.5,17.333333333333332,24.0
3.48,nan,nan,nan,nan,18.0,nan,nan,15.0,14.333333333333334,12.5,15.25,15.25,18.75,10.0,10.5,16.0
4.84,nan,nan,nan,nan,23.0,nan,nan,9.666666666666666,11.25,18.666666666666668,16.75,12.75,14.25,7.666666666666667,18.0,13.0
5.22,nan,nan,nan,nan,32.0,nan,nan,9.666666666666666,9.5,13.666666666666666,18.75,2.5,16.0,9.25,6.0,17.0
4.36,nan,nan,nan,nan,29.0,nan,nan,10.0,12.0,16.75,21.75,21.5,22.333333333333332,11.333333333333334,nan,10.0
4.29,nan,nan,nan,nan,26.0,nan,nan,19.0,18.0,12.25,24.0,23.0,20.666666666666668,11.0,25.0,28.5
2.99,nan,nan,nan,nan,27.0,nan,nan,6.0,25.0,nan,20.0,15.0,32.333333333333336,nan,nan,24.0
2.23,nan,nan,nan,nan,22.0,nan,nan,19.0,22.75,2.0,23.666666666666668,nan,19.666666666666668,11.0,19.0,33.0
2.27,nan,nan,nan,nan,20.0,nan,nan,nan,23.0,4.5,39.0,7.0,22.0,6.5,22.0,31.0
2.25,nan,nan,nan,nan,23.0,nan,nan,nan,28.75,25.333333333333332,nan,27.0,nan,nan,16.0,30.0
3.7,nan,nan,nan,nan,28.0,nan,nan,15.0,18.0,25.5,29.0,nan,nan,nan,16.0,21.5
2.04,nan,nan,nan,nan,27.0,nan,nan,15.0,nan,16.0,18.0,25.0,23.0,nan,nan,nan
1.93,nan,nan,nan,nan,21.0,nan,nan,nan,nan,28.0,nan,nan,nan,nan,29.5,nan
1.72,nan,nan,nan,nan,23.0,nan,nan,22.5,18.0,nan,55.0,nan,nan,nan,nan,nan
2.24,nan,nan,nan,nan,19.0,nan,nan,nan,nan,nan,7.0,nan,26.0,nan,nan,nan
4.67,nan,nan,nan,nan,24.0,nan,nan,16.0,19.0,16.0,23.5,nan,17.0,26.0,nan,31.0
9.23,nan,nan,nan,nan,31.0,nan,nan,9.666666666666666,13.333333333333334,22.75,20.25,18.5,21.0,6.5,17.0,18.0
8.32,nan,nan,nan,nan,40.0,nan,nan,9.0,11.75,11.666666666666666,10.75,19.5,18.5,12.0,18.0,20.0
11.77,nan,nan,nan,nan,60.0,nan,nan,19.0,15.0,17.75,15.25,13.25,18.5,13.666666666666666,nan,25.0
7.46,nan,nan,nan,nan,53.0,nan,nan,7.5,9.25,14.666666666666666,15.5,8.5,20.0,10.0,13.0,21.0
8.56,nan,nan,nan,nan,45.0,nan,nan,11.5,8.0,15.5,11.25,7.5,25.25,9.5,4.0,13.0
8.13,nan,nan,nan,nan,71.0,nan,nan,17.0,3.6666666666666665,8.666666666666666,14.0,19.0,17.666666666666668,13.666666666666666,9.0,10.666666666666666
8.79,nan,nan,nan,nan,84.0,nan,nan,nan,19.666666666666668,14.333333333333334,18.0,15.5,26.0,11.0,nan,nan
3.7,nan,nan,nan,nan,51.0,nan,nan,nan,12.75,19.5,33.0,13.0,23.5,8.666666666666666,10.0,26.0
3.15,nan,nan,nan,nan,30.0,nan,nan,8.0,14.25,14.333333333333334,17.0,10.333333333333334,23.0,18.0,13.0,24.5
3.79,nan,nan,nan,nan,31.0,nan,nan,10.75,18.5,18.5,13.333333333333334,14.25,15.0,10.0,10.0,20.0
4.33,nan,nan,nan,nan,32.0,nan,nan,8.0,8.0,21.25,18.5,13.666666666666666,22.0,12.5,12.0,13.0
5.29,nan,nan,nan,nan,33.0,nan,nan,12.0,6.5,15.25,15.75,10.5,15.25,7.666666666666667,10.0,12.666666666666666
4.93,nan,nan,nan,nan,31.0,nan,nan,12.0,8.666666666666666,20.0,12.0,9.0,21.75,9.0,10.5,16.0
4.31,nan,nan,nan,nan,29.0,nan,nan,nan,10.0,10.666666666666666,23.333333333333332,13.333333333333334,24.5,18.5,nan,17.0
3.83,nan,nan,nan,nan,33.0,nan,nan,24.0,27.333333333333332,18.333333333333332,18.666666666666668,7.333333333333333,31.666666666666668,12.0,14.5,33.5
4.07,nan,nan,nan,nan,41.0,nan,nan,7.5,26.0,14.666666666666666,24.5,nan,31.0,18.0,nan,24.5
1.83,nan,nan,nan,nan,29.0,nan,nan,20.5,31.5,27.666666666666668,27.0,14.0,31.0,nan,11.0,20.0
1.75,nan,nan,nan,nan,21.0,nan,nan,26.0,20.0,13.0,34.0,12.0,29.0,16.0,nan,22.0
2.31,nan,nan,nan,nan,23.0,nan,nan,nan,19.0,14.0,31.333333333333332,nan,nan,nan,nan,26.0
1.1,nan,nan,nan,nan,20.0,nan,nan,nan,34.0,24.0,nan,nan,nan,nan,nan,40.0
0.66,nan,nan,nan,nan,18.0,nan,nan,28.0,34.0,50.0,43.0,nan,22.0,22.0,nan,38.0
0.6,nan,nan,nan,nan,15.0,nan,nan,nan,nan,nan,46.0,nan,nan,nan,nan,nan
1.94,nan,nan,nan,nan,17.0,nan,nan,nan,29.0,nan,24.333333333333332,nan,36.0,nan,nan,nan
2.31,nan,nan,nan,nan,35.0,nan,nan,nan,23.666666666666668,22.0,15.0,12.0,28.0,nan,nan,22.5
2.16,nan,nan,nan,nan,29.0,nan,nan,12.0,21.75,18.5,15.75,13.333333333333334,nan,13.0,20.0,nan
3.91,nan,nan,nan,nan,26.0,nan,nan,17.666666666666668,10.0,16.0,14.25,13.666666666666666,28.0,24.0,nan,18.25
4.99,nan,nan,nan,nan,43.0,nan,nan,12.0,8.0,14.25,14.75,17.75,24.25,17.75,18.0,18.0
6.1,nan,nan,nan,nan,42.0,nan,nan,4.0,10.25,13.25,13.0,15.333333333333334,25.5,9.0,nan,19.0
4.49,nan,nan,nan,nan,50.0,nan,nan,16.0,6.666666666666667,26.333333333333332,10.75,9.0,20.666666666666668,12.0,11.5,29.25
3.15,nan,nan,nan,nan,25.0,nan,nan,7.0,10.0,18.5,11.666666666666666,13.0,21.25,9.5,nan,21.0
5.72,nan,nan,nan,nan,39.0,nan,nan,nan,21.25,16.5,18.0,10.0,21.0,16.0,nan,15.5
5.28,nan,nan,nan,nan,47.0,nan,nan,4.0,6.0,13.666666666666666,27.0,17.0,28.333333333333332,8.5,13.0,21.5
3.61,nan,nan,nan,nan,43.0,nan,nan,nan,8.5,23.333333333333332,19.0,13.0,20.75,18.333333333333332,17.0,21.5
4.16,nan,nan,nan,nan,42.0,nan,nan,3.0,20.0,8.333333333333334,12.5,9.666666666666666,21.333333333333332,13.0,11.0,14.0
4.41,nan,nan,nan,nan,42.0,nan,nan,43.25,13.666666666666666,19.0,24.25,10.333333333333334,21.0,10.0,13.0,13.5
4.67,nan,nan,nan,nan,44.0,nan,nan,13.0,13.0,15.666666666666666,21.25,8.5,19.75,12.5,nan,23.0
4.95,nan,nan,nan,nan,48.0,nan,nan,19.0,25.0,20.0,18.333333333333332,14.75,23.0,9.0,22.0,23.333333333333332
4.45,nan,nan,nan,nan,49.0,nan,nan,12.0,17.75,23.333333333333332,29.5,13.5,27.666666666666668,13.0,6.0,24.0
4.37,nan,nan,nan,nan,46.0,nan,nan,nan,22.75,21.0,18.0,10.5,29.5,17.0,nan,22.0
4.16,nan,nan,nan,nan,53.0,nan,nan,17.0,18.666666666666668,30.0,16.5,12.0,27.0,12.5,15.0,20.75
4.26,nan,nan,nan,nan,45.0,nan,nan,18.0,26.5,5.0,16.666666666666668,4.0,22.666666666666668,nan,nan,25.333333333333332
4.76,nan,nan,nan,nan,44.0,nan,nan,14.0,16.5,17.0,32.0,20.0,28.5,nan,16.5,36.0
3.29,nan,nan,nan,nan,37.0,nan,nan,19.0,23.333333333333332,16.0,nan,nan,nan,nan,nan,31.5
3.88,nan,nan,nan,nan,18.0,nan,nan,18.0,33.0,15.0,42.0,nan,29.0,3.0,13.0,nan
2.79,nan,nan,nan,nan,29.0,nan,nan,nan,28.0,nan,51.0,nan,nan,nan,nan,30.0
2.05,nan,nan,nan,nan,38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.77,nan,nan,nan,nan,35.0,nan,nan,nan,nan,nan,24.0,16.0,nan,nan,nan,nan
3.63,nan,nan,nan,nan,30.0,nan,nan,nan,21.666666666666668,29.0,19.333333333333332,9.0,24.0,nan,nan,24.5
6.49,nan,nan,nan,nan,39.0,nan,nan,nan,22.333333333333332,17.0,24.25,17.333333333333332,28.0,15.0,9.0,17.333333333333332
5.97,nan,nan,nan,nan,45.0,nan,nan,23.5,17.0,23.25,14.0,11.0,26.5,16.333333333333332,17.0,19.75
9.4,nan,nan,nan,nan,75.0,nan,nan,nan,15.25,15.75,13.5,21.0,21.5,15.0,nan,19.5
8.6,nan,nan,nan,nan,125.0,nan,nan,23.5,15.5,13.25,14.75,11.333333333333334,26.666666666666668,17.5,10.666666666666666,24.0
5.16,nan,nan,nan,nan,87.0,nan,nan,10.0,15.25,18.666666666666668,17.0,16.0,26.0,9.5,nan,22.5
4.25,nan,nan,nan,nan,59.0,nan,nan,12.333333333333334,9.5,17.5,13.5,8.333333333333334,22.0,11.75,nan,19.333333333333332
8.94,nan,nan,nan,nan,66.0,nan,nan,15.0,7.0,18.0,13.25,18.0,17.5,9.333333333333334,10.0,11.333333333333334
5.95,nan,nan,nan,nan,76.0,nan,nan,15.0,12.0,20.666666666666668,11.0,7.0,19.333333333333332,nan,20.0,10.0
6.45,nan,nan,nan,nan,56.0,nan,nan,9.333333333333334,15.333333333333334,19.25,18.25,10.75,23.0,14.0,13.0,24.333333333333332
7.34,nan,nan,nan,nan,65.0,nan,nan,4.0,16.0,22.0,18.5,11.666666666666666,23.0,9.0,6.0,15.5
